T,N,M,Classification,DescY,DescR,DescM,Grade,HER2,ER,PR,Stage
T3,N1b,M0,p,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIIC
T3,N1c,M0,p,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIIC
T3,N2,M0,p,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIIC
T3,N2a,M0,p,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIIC
T3,N2b,M0,p,ANY,ANY,ANY,G3,Negative,Negative,Negative,IIIC
T4,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Positive,IIIB
T4,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N0,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N1,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N2,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Positive,Negative,Negative,IIIB
T4,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
ANY,N3,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Positive,IIIA
T4,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N0,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N1,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N2,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Negative,Positive,Negative,IIIB
T4,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Positive,IIIB
T4,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N0,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N1,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N1a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N1b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N1c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4a,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4b,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4c,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N2,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N2a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4d,N2b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
ANY,N3a,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
ANY,N3b,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
ANY,N3c,M0,p,ANY,ANY,ANY,G1,Negative,Negative,Negative,IIIB
T4,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N1,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N1a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N1b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N1c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N1,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N1a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N1b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N1c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N1,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N1a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N1b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N1c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N1,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N1a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N1b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N1c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N1,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N1a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N1b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N1c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N2,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N2a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N2b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N2,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N2a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4a,N2b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N2,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N2a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4b,N2b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N2,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N2a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4c,N2b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N2,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N2a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4d,N2b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
ANY,N3,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
ANY,N3a,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
ANY,N3b,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
ANY,N3c,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Positive,IIIA
T4,N0,M0,p,ANY,ANY,ANY,G2,Positive,Positive,Negative,IIIB
